Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
2321,Upper Hunter,99,1779,7521,0.055649241,0.013163143
2322,Cessnock,9,2572,7652,0.003499222,0.001176163
2322,Maitland,1916,2572,9390,0.744945568,0.204046858
2322,Newcastle,21,2572,13023,0.008164852,0.001612532
2322,Port Stephens,41,2572,7329,0.015940902,0.005594215
2322,Wallsend,585,2572,10573,0.227449456,0.055329613
2323,Cessnock,39,3255,7652,0.011981567,0.005096707
2323,Lake Macquarie,27,3255,6618,0.008294931,0.004079782
2323,Maitland,3189,3255,9390,0.979723502,0.339616613
2324,Maitland,19,2822,9390,0.006732814,0.002023429
2324,Port Stephens,2794,2822,7329,0.990077959,0.381225269
2324,Upper Hunter,9,2822,7521,0.003189227,0.001196649
2325,Cessnock,3108,3108,7652,1,0.406168322
2326,Cessnock,587,591,7652,0.99323181,0.076711971
2326,Maitland,4,591,9390,0.00676819,0.000425985
2327,Cessnock,989,989,7652,1,0.129247256
2328,Upper Hunter,229,229,7521,1,0.030448079
2329,Barwon,5,188,7866,0.026595745,0.000635647
2329,Upper Hunter,183,188,7521,0.973404255,0.024331871
2330,Upper Hunter,2083,2083,7521,1,0.276957851
2333,Upper Hunter,1919,1919,7521,1,0.25515224
2334,Cessnock,231,231,7652,1,0.030188186
2335,Cessnock,309,654,7652,0.472477064,0.0403816
2335,Upper Hunter,345,654,7521,0.527522936,0.04587156
2336,Upper Hunter,238,238,7521,1,0.031644728
2337,Upper Hunter,835,835,7521,1,0.11102247
2338,Tamworth,6,120,9532,0.05,0.000629459
2338,Upper Hunter,114,120,7521,0.95,0.015157559
2339,Tamworth,45,45,9532,1,0.00472094
2340,Tamworth,6634,6634,9532,1,0.695971465
2341,Tamworth,150,150,9532,1,0.015736467
2342,Tamworth,27,27,9532,1,0.002832564
2343,Tamworth,471,471,9532,1,0.049412505
2344,Tamworth,36,36,9532,1,0.003776752
2345,Tamworth,28,28,9532,1,0.002937474
2346,Tamworth,283,283,9532,1,0.029689467
2347,Northern Tablelands,12,158,9041,0.075949367,0.001327287
2347,Tamworth,146,158,9532,0.924050633,0.015316828
2350,Northern Tablelands,3525,3525,9041,1,0.389890499
2352,Tamworth,247,247,9532,1,0.025912715
2353,Tamworth,69,69,9532,1,0.007238775
2354,Northern Tablelands,252,264,9041,0.954545455,0.027873023
2354,Tamworth,12,264,9532,0.045454545,0.001258917
2355,Tamworth,28,28,9532,1,0.002937474
2356,Barwon,6,6,7866,1,0.000762777
2357,Barwon,364,364,7866,1,0.046275108
2358,Northern Tablelands,330,330,9041,1,0.036500387
2359,Northern Tablelands,34,34,9041,1,0.003760646
