Postcode,SA4,Rented Households,Postcode Totals,SA4 Totals,Postcode Fraction,SA4 Fraction,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21
2121,Sydney - Parramatta,47.0,4539.0,72706.0,0.0103547036792245,0.0006464390834319038,125,Sydney - Parramatta,Greater Sydney,New South Wales
2121,Sydney - Ryde,4492.0,4539.0,28251.0,0.9896452963207755,0.15900322112491594,126,Sydney - Ryde,Greater Sydney,New South Wales
2122,Sydney - Ryde,4322.0,4322.0,28251.0,1.0,0.15298573501822943,126,Sydney - Ryde,Greater Sydney,New South Wales
2125,Sydney - Baulkham Hills and Hawkesbury,443.0,646.0,15386.0,0.6857585139318886,0.02879240868321851,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2125,Sydney - Ryde,203.0,646.0,28251.0,0.3142414860681115,0.007185586350925631,126,Sydney - Ryde,Greater Sydney,New South Wales
2126,Sydney - Baulkham Hills and Hawkesbury,883.0,883.0,15386.0,1.0,0.05738983491485766,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2127,Sydney - Parramatta,5674.0,5674.0,72706.0,1.0,0.07804032679558771,125,Sydney - Parramatta,Greater Sydney,New South Wales
2128,Sydney - Parramatta,388.0,388.0,72706.0,1.0,0.0053365609440761425,125,Sydney - Parramatta,Greater Sydney,New South Wales
2130,Sydney - Inner West,1549.0,1549.0,49176.0,1.0,0.03149910525459574,120,Sydney - Inner West,Greater Sydney,New South Wales
2131,Sydney - Inner West,4714.0,4714.0,49176.0,1.0,0.09585976899300472,120,Sydney - Inner West,Greater Sydney,New South Wales
2132,Sydney - Inner West,1098.0,1098.0,49176.0,1.0,0.02232796486090776,120,Sydney - Inner West,Greater Sydney,New South Wales
2133,Sydney - Inner West,1276.0,1276.0,49176.0,1.0,0.02594761672360501,120,Sydney - Inner West,Greater Sydney,New South Wales
2134,Sydney - Inner West,4015.0,4015.0,49176.0,1.0,0.08164551813892956,120,Sydney - Inner West,Greater Sydney,New South Wales
2135,Sydney - Inner West,3812.0,3812.0,49176.0,1.0,0.07751748820562876,120,Sydney - Inner West,Greater Sydney,New South Wales
2136,Sydney - Inner West,911.0,911.0,49176.0,1.0,0.018525296892793232,120,Sydney - Inner West,Greater Sydney,New South Wales
2137,Sydney - Inner West,3373.0,3373.0,49176.0,1.0,0.06859036928583048,120,Sydney - Inner West,Greater Sydney,New South Wales
2138,Sydney - Inner West,3796.0,3796.0,49176.0,1.0,0.0771921262404425,120,Sydney - Inner West,Greater Sydney,New South Wales
2140,Sydney - Inner West,4490.0,4490.0,49176.0,1.0,0.09130470148039695,120,Sydney - Inner West,Greater Sydney,New South Wales
2141,Sydney - Parramatta,4548.0,4548.0,72706.0,1.0,0.0625532968393255,125,Sydney - Parramatta,Greater Sydney,New South Wales
2142,Sydney - Parramatta,5017.0,5017.0,72706.0,1.0,0.0690039336505928,125,Sydney - Parramatta,Greater Sydney,New South Wales
2143,Sydney - Inner South West,473.0,1193.0,74755.0,0.3964794635373009,0.006327335964149555,119,Sydney - Inner South West,Greater Sydney,New South Wales
2143,Sydney - Parramatta,720.0,1193.0,72706.0,0.6035205364626991,0.009902896597254697,125,Sydney - Parramatta,Greater Sydney,New South Wales
2144,Sydney - Parramatta,5510.0,5510.0,72706.0,1.0,0.07578466701510192,125,Sydney - Parramatta,Greater Sydney,New South Wales
2145,Sydney - Parramatta,11997.0,11997.0,72706.0,1.0,0.1650070145517564,125,Sydney - Parramatta,Greater Sydney,New South Wales
2146,Sydney - Blacktown,1094.0,2101.0,42471.0,0.5207044264635887,0.025758753031480303,116,Sydney - Blacktown,Greater Sydney,New South Wales
2146,Sydney - Parramatta,1007.0,2101.0,72706.0,0.4792955735364112,0.013850301213104833,125,Sydney - Parramatta,Greater Sydney,New South Wales
2147,Sydney - Blacktown,4023.0,4023.0,42471.0,1.0,0.094723458359822,116,Sydney - Blacktown,Greater Sydney,New South Wales
2148,Sydney - Blacktown,8911.0,8911.0,42471.0,1.0,0.20981375526830073,116,Sydney - Blacktown,Greater Sydney,New South Wales
2150,Sydney - Parramatta,9665.0,9665.0,72706.0,1.0,0.13293263279509257,125,Sydney - Parramatta,Greater Sydney,New South Wales
2151,Sydney - Parramatta,3252.0,3252.0,72706.0,1.0,0.04472808296426705,125,Sydney - Parramatta,Greater Sydney,New South Wales
2152,Sydney - Parramatta,1408.0,1408.0,72706.0,1.0,0.01936566445685363,125,Sydney - Parramatta,Greater Sydney,New South Wales
2153,Sydney - Baulkham Hills and Hawkesbury,3569.0,4310.0,15386.0,0.8280742459396752,0.23196412322890939,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2153,Sydney - Blacktown,69.0,4310.0,42471.0,0.016009280742459397,0.0016246379882743519,116,Sydney - Blacktown,Greater Sydney,New South Wales
2153,Sydney - Parramatta,672.0,4310.0,72706.0,0.15591647331786543,0.00924270349077105,125,Sydney - Parramatta,Greater Sydney,New South Wales
2154,Sydney - Baulkham Hills and Hawkesbury,3050.0,3050.0,15386.0,1.0,0.19823215910568048,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2155,Sydney - Baulkham Hills and Hawkesbury,4072.0,5624.0,15386.0,0.7240398293029872,0.26465618094371507,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2155,Sydney - Blacktown,1552.0,5624.0,42471.0,0.2759601706970128,0.036542581997127455,116,Sydney - Blacktown,Greater Sydney,New South Wales
2156,Sydney - Baulkham Hills and Hawkesbury,337.0,337.0,15386.0,1.0,0.021903028727414533,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2157,Sydney - Baulkham Hills and Hawkesbury,181.0,181.0,15386.0,1.0,0.011763941245287924,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2158,Sydney - Baulkham Hills and Hawkesbury,399.0,399.0,15386.0,1.0,0.025932666060054597,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2159,Sydney - Baulkham Hills and Hawkesbury,211.0,211.0,15386.0,1.0,0.013713765761081503,115,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,New South Wales
2160,Sydney - Parramatta,5615.0,5615.0,72706.0,1.0,0.0772288394355349,125,Sydney - Parramatta,Greater Sydney,New South Wales
