Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2668,Riverina,14,14,15491,1.0,0.0009037505648441031,2668,Riverina,1.0,0.9995331
2669,Farrer,8,69,16526,0.11594202898550725,0.00048408568316592036,2669,Farrer,1.0,1.0
2669,Parkes,11,69,16428,0.15942028985507245,0.0006695885074263452,2669,Parkes,1.0,0.9993544
2669,Riverina,50,69,15491,0.7246376811594203,0.0032276805887289394,2669,Riverina,1.0,0.9995331
2671,Riverina,343,346,15491,0.9913294797687862,0.022141888838680523,2671,Riverina,1.0,0.9995331
2671,Parkes,3,346,16428,0.008670520231213872,0.00018261504747991235,2671,Parkes,1.0,0.9993544
2672,Parkes,182,182,16428,1.0,0.01107864621378135,2672,Parkes,1.0,0.9993544
2675,Farrer,179,179,16526,1.0,0.010831417160837468,2675,Farrer,1.0,1.0
2680,Farrer,2548,2548,16526,1.0,0.15418129008834563,2680,Farrer,1.0,1.0
2681,Farrer,127,127,16526,1.0,0.0076848602202589855,2681,Farrer,1.0,1.0
2700,Farrer,480,480,16526,1.0,0.029045140989955223,2700,Farrer,1.0,1.0
2701,Riverina,134,134,15491,1.0,0.008650183977793557,2701,Riverina,1.0,0.9995331
2702,Riverina,34,34,15491,1.0,0.0021948228003356787,2702,Riverina,1.0,0.9995331
2703,Farrer,58,58,16526,1.0,0.003509621202952923,2703,Farrer,1.0,1.0
2705,Farrer,1001,1001,16526,1.0,0.06057122110613579,2705,Farrer,1.0,1.0
2706,Farrer,141,141,16526,1.0,0.008532010165799346,2706,Farrer,1.0,1.0
2707,Farrer,133,133,16526,1.0,0.008047924482633426,2707,Farrer,1.0,1.0
2710,Farrer,995,995,16526,1.0,0.060208156843761344,2710,Farrer,1.0,1.0
2711,Farrer,326,326,16526,1.0,0.019726491589011255,2711,Farrer,1.0,1.0
2712,Farrer,107,107,16526,1.0,0.006474646012344185,2712,Farrer,1.0,1.0
2713,Farrer,255,255,16526,1.0,0.015430231150913711,2713,Farrer,1.0,1.0
2714,Farrer,227,227,16526,1.0,0.01373593125983299,2714,Farrer,1.0,1.0
2715,Farrer,163,163,16526,1.0,0.009863245794505628,2715,Farrer,1.0,1.0
2716,Farrer,93,93,16526,1.0,0.005627496066803825,2716,Farrer,1.0,1.0
2717,Farrer,140,140,16526,1.0,0.008471499455403606,2717,Farrer,0.9823261,1.0
2720,Eden-Monaro,796,796,13534,1.0,0.05881483670755135,2720,Eden-Monaro,1.0,0.9999922
2721,Riverina,9,9,15491,1.0,0.0005809825059712091,2721,Riverina,1.0,0.9995331
2722,Eden-Monaro,14,246,13534,0.056910569105691054,0.0010344318013890941,2722,Eden-Monaro,1.0,0.9999922
2722,Riverina,232,246,15491,0.943089430894309,0.014976437931702278,2722,Riverina,1.0,0.9995331
2725,Riverina,12,12,15491,1.0,0.0007746433412949454,2725,Riverina,1.0,0.9995331
2726,Riverina,14,14,15491,1.0,0.0009037505648441031,2726,Riverina,1.0,0.9995331
2727,Riverina,14,14,15491,1.0,0.0009037505648441031,2727,Riverina,0.8295316,0.9995331
2729,Riverina,19,92,15491,0.20652173913043478,0.001226518623716997,2729,Riverina,0.9999997,0.9995331
2729,Eden-Monaro,73,92,13534,0.7934782608695652,0.005393822964385991,2729,Eden-Monaro,0.9999997,0.9999922
2730,Eden-Monaro,118,118,13534,1.0,0.008718782325993794,2730,Eden-Monaro,1.0,0.9999922
2731,Farrer,575,575,16526,1.0,0.034793658477550525,2731,Farrer,1.0,1.0
2732,Farrer,159,159,16526,1.0,0.009621202952922667,2732,Farrer,1.0,1.0
2733,Farrer,41,41,16526,1.0,0.002480939126225342,2733,Farrer,1.0,1.0
2734,Farrer,7,7,16526,1.0,0.00042357497277018035,2734,Farrer,1.0,1.0
2735,Farrer,22,22,16526,1.0,0.001331235628706281,2735,Farrer,1.0,1.0
2736,Farrer,23,23,16526,1.0,0.0013917463391020211,2736,Farrer,1.0,1.0
2737,Farrer,59,59,16526,1.0,0.0035701319133486626,2737,Farrer,1.0,1.0
2738,Farrer,94,94,16526,1.0,0.005688006777199564,2738,Farrer,1.0,1.0
2739,Farrer,124,124,16526,1.0,0.007503328089071766,2739,Farrer,1.0,1.0
2745,Hume,152,1809,9526,0.08402432283029299,0.015956330044089858,2745,Hume,1.0,0.9982563
2745,Lindsay,1657,1809,17470,0.9159756771697071,0.09484831139095593,2745,Lindsay,1.0,0.9983611
2747,Chifley,25,4723,18581,0.005293245818335804,0.001345460416554545,2747,Chifley,1.0,0.9990686
2747,Lindsay,4698,4723,17470,0.9947067541816642,0.26891814539210074,2747,Lindsay,1.0,0.9983611
2748,Lindsay,75,75,17470,1.0,0.004293073840870063,2748,Lindsay,1.0,0.9983611
2749,Lindsay,1350,1350,17470,1.0,0.07727532913566114,2749,Lindsay,1.0,0.9983611
2750,Lindsay,5451,5451,17470,1.0,0.31202060675443616,2750,Lindsay,1.0,0.9983611
2752,Hume,153,153,9526,1.0,0.016061305899643084,2752,Hume,1.0,0.9982563
2753,Lindsay,193,1513,17470,0.12756113681427628,0.011047510017172295,2753,Lindsay,1.0,0.9983611
2753,Macquarie,1320,1513,10153,0.8724388631857237,0.13001083423618634,2753,Macquarie,1.0,1.0
2754,Macquarie,525,525,10153,1.0,0.05170885452575594,2754,Macquarie,1.0,1.0
2756,Berowra,83,2814,6421,0.029495380241648897,0.01292633546176608,2756,Berowra,1.0,0.9974888
2756,Macquarie,2731,2814,10153,0.9705046197583511,0.2689845365901704,2756,Macquarie,1.0,1.0
2757,Macquarie,34,34,10153,1.0,0.0033487639121441938,2757,Macquarie,1.0,1.0
2758,Macquarie,197,197,10153,1.0,0.019403132079188416,2758,Macquarie,1.0,1.0
2759,McMahon,1393,1393,15828,1.0,0.08800859236795552,2759,McMahon,1.0,0.9993712
