Postcode,GCCSA,Rented Households,Postcode Totals,GCCSA Totals,Postcode Fraction,GCCSA Fraction,POA_NAME_2016,GCCSA_NAME_2016,POA_2016_2021_RATIO,GCCSA_2016_2021_RATIO
2219,Greater Sydney,1410,1410,547460,1.0,0.002575530632374968,2219,Greater Sydney,1.0,0.999999
2220,Greater Sydney,4311,4311,547460,1.0,0.007874547912176231,2220,Greater Sydney,0.9957081,0.999999
2221,Greater Sydney,890,890,547460,1.0,0.001625689548094838,2221,Greater Sydney,1.0,0.999999
2222,Greater Sydney,1567,1567,547460,1.0,0.0028623095751287766,2222,Greater Sydney,1.0,0.999999
2223,Greater Sydney,1996,1996,547460,1.0,0.003645928469659884,2223,Greater Sydney,1.0,0.999999
2224,Greater Sydney,895,895,547460,1.0,0.0016348226354436855,2224,Greater Sydney,0.9996516,0.999999
2225,Greater Sydney,121,121,547460,1.0,0.0002210207138421072,2225,Greater Sydney,1.0,0.999999
2226,Greater Sydney,733,733,547460,1.0,0.0013389106053410295,2226,Greater Sydney,1.0,0.999999
2227,Greater Sydney,1075,1075,547460,1.0,0.001963613780002192,2227,Greater Sydney,0.9954129,0.999999
2228,Greater Sydney,1890,1890,547460,1.0,0.003452307017864319,2228,Greater Sydney,1.0,0.999999
2229,Greater Sydney,2286,2286,547460,1.0,0.004175647535893033,2229,Greater Sydney,0.995666,0.999999
2230,Greater Sydney,3707,3707,547460,1.0,0.006771270960435466,2230,Greater Sydney,0.9999999,0.999999
2231,Greater Sydney,100,100,547460,1.0,0.00018266174697694807,2231,Greater Sydney,0.9987701,0.999999
2232,Greater Sydney,2987,2987,547460,1.0,0.005456106382201439,2232,Greater Sydney,0.9975861,0.999999
2233,Greater Sydney,1058,1058,547460,1.0,0.0019325612830161107,2233,Greater Sydney,0.9992845,0.999999
2234,Greater Sydney,955,955,547460,1.0,0.0017444196836298542,2234,Greater Sydney,1.0,0.999999
2250,Rest of NSW,5,6910,266886,0.000723589001447178,1.8734590799067766e-05,2250,Rest of NSW,1.0,0.9999997
2250,Greater Sydney,6905,6910,547460,0.9992764109985528,0.012612793628758265,2250,Greater Sydney,1.0,0.999999
2251,Greater Sydney,1966,1966,547460,1.0,0.0035911299455667995,2251,Greater Sydney,0.9997837,0.999999
2256,Greater Sydney,1993,1993,547460,1.0,0.0036404486172505754,2256,Greater Sydney,1.0,0.999999
2257,Greater Sydney,3287,3287,547460,1.0,0.006004091623132283,2257,Greater Sydney,1.0,0.999999
2258,Greater Sydney,360,360,547460,1.0,0.0006575822891170131,2258,Greater Sydney,1.0,0.999999
2259,Rest of NSW,189,5118,266886,0.0369284876905041,0.0007081675322047616,2259,Rest of NSW,1.0,0.9999997
2259,Greater Sydney,4929,5118,547460,0.963071512309496,0.009003397508493771,2259,Greater Sydney,1.0,0.999999
2260,Greater Sydney,1733,1733,547460,1.0,0.00316552807511051,2260,Greater Sydney,1.0,0.999999
2261,Greater Sydney,5722,5722,547460,1.0,0.010451905162020969,2261,Greater Sydney,1.0,0.999999
2262,Greater Sydney,1964,1964,547460,1.0,0.0035874767106272606,2262,Greater Sydney,1.0,0.999999
2263,Greater Sydney,2997,2997,547460,1.0,0.005474372556899134,2263,Greater Sydney,1.0,0.999999
2264,Rest of NSW,1230,1230,266886,1.0,0.0046087093365706705,2264,Rest of NSW,1.0,0.9999997
2265,Rest of NSW,426,426,266886,1.0,0.0015961871360805737,2265,Rest of NSW,1.0,0.9999997
2267,Rest of NSW,247,247,266886,1.0,0.0009254887854739476,2267,Rest of NSW,1.0,0.9999997
2278,Rest of NSW,109,109,266886,1.0,0.00040841407941967733,2278,Rest of NSW,1.0,0.9999997
2280,Rest of NSW,2217,2217,266886,1.0,0.008306917560306647,2280,Rest of NSW,1.0,0.9999997
2281,Rest of NSW,1206,1206,266886,1.0,0.004518783300735145,2281,Rest of NSW,1.0,0.9999997
2282,Rest of NSW,922,922,266886,1.0,0.0034546585433480963,2282,Rest of NSW,1.0,0.9999997
2283,Rest of NSW,2036,2036,266886,1.0,0.007628725373380395,2283,Rest of NSW,1.0,0.9999997
2284,Rest of NSW,1057,1057,266886,1.0,0.003960492494922926,2284,Rest of NSW,1.0,0.9999997
2285,Rest of NSW,2417,2417,266886,1.0,0.009056301192269358,2285,Rest of NSW,0.99748,0.9999997
2286,Rest of NSW,214,214,266886,1.0,0.0008018404862001004,2286,Rest of NSW,1.0,0.9999997
2287,Rest of NSW,3573,3573,266886,1.0,0.013387738585013825,2287,Rest of NSW,1.0,0.9999997
2289,Rest of NSW,1615,1615,266886,1.0,0.006051272828098889,2289,Rest of NSW,0.9968913,0.9999997
2290,Rest of NSW,2871,2871,266886,1.0,0.010757402036824711,2290,Rest of NSW,0.9919595,0.9999997
2291,Rest of NSW,1658,1658,266886,1.0,0.006212390308970871,2291,Rest of NSW,0.9943276,0.9999997
2292,Rest of NSW,404,404,266886,1.0,0.0015137549365646756,2292,Rest of NSW,0.9796337,0.9999997
2293,Rest of NSW,465,465,266886,1.0,0.0017423169443133023,2293,Rest of NSW,1.0,0.9999997
2294,Rest of NSW,364,364,266886,1.0,0.0013638782101721334,2294,Rest of NSW,1.0,0.9999997
2295,Rest of NSW,634,634,266886,1.0,0.002375546113321793,2295,Rest of NSW,1.0,0.9999997
2296,Rest of NSW,388,388,266886,1.0,0.0014538042460076586,2296,Rest of NSW,1.0,0.9999997
2297,Rest of NSW,217,217,266886,1.0,0.0008130812406795411,2297,Rest of NSW,1.0,0.9999997
2298,Rest of NSW,1505,1505,266886,1.0,0.005639111830519398,2298,Rest of NSW,1.0,0.9999997
2299,Rest of NSW,1864,1864,266886,1.0,0.0069842554498924635,2299,Rest of NSW,1.0,0.9999997
2300,Rest of NSW,2532,2532,266886,1.0,0.009487196780647918,2300,Rest of NSW,1.0,0.9999997
2302,Rest of NSW,162,162,266886,1.0,0.0006070007418897956,2302,Rest of NSW,0.9999818,0.9999997
2303,Rest of NSW,1550,1550,266886,1.0,0.005807723147711007,2303,Rest of NSW,1.0,0.9999997
2304,Rest of NSW,2387,2387,266886,1.0,0.008943893647474952,2304,Rest of NSW,0.9999998,0.9999997
2305,Rest of NSW,1266,1266,266886,1.0,0.004743598390323959,2305,Rest of NSW,1.0,0.9999997
2306,Rest of NSW,1030,1030,266886,1.0,0.00385932570460796,2306,Rest of NSW,1.0,0.9999997
2307,Rest of NSW,535,535,266886,1.0,0.002004601215500251,2307,Rest of NSW,1.0,0.9999997
2311,Rest of NSW,48,48,266886,1.0,0.00017985207167105056,2311,Rest of NSW,1.0,0.9999997
2312,Rest of NSW,90,90,266886,1.0,0.0003372226343832198,2312,Rest of NSW,1.0,0.9999997
2315,Rest of NSW,1676,1676,266886,1.0,0.006279834835847515,2315,Rest of NSW,1.0,0.9999997
2316,Rest of NSW,426,426,266886,1.0,0.0015961871360805737,2316,Rest of NSW,1.0,0.9999997
2317,Rest of NSW,680,680,266886,1.0,0.0025479043486732163,2317,Rest of NSW,1.0,0.9999997
2318,Rest of NSW,801,801,266886,1.0,0.003001281446010656,2318,Rest of NSW,1.0,0.9999997
2319,Rest of NSW,672,672,266886,1.0,0.002517929003394708,2319,Rest of NSW,1.0,0.9999997
2320,Rest of NSW,3428,3428,266886,1.0,0.012844435451840861,2320,Rest of NSW,1.0,0.9999997
2321,Rest of NSW,1155,1155,266886,1.0,0.004327690474584654,2321,Rest of NSW,1.0,0.9999997
2322,Rest of NSW,1585,1585,266886,1.0,0.005938865283304482,2322,Rest of NSW,1.0,0.9999997
2323,Rest of NSW,2985,2985,266886,1.0,0.011184550707043456,2323,Rest of NSW,0.9999996,0.9999997
2324,Rest of NSW,2588,2588,266886,1.0,0.009697024197597477,2324,Rest of NSW,0.9999996,0.9999997
2325,Rest of NSW,2825,2825,266886,1.0,0.010585043801473288,2325,Rest of NSW,1.0,0.9999997
