SA1,LGA,Rented Households,LGA Totals,SA1 Totals,SA1 Fraction,LGA Fraction
10102161119,Queanbeyan-Palerang,17,6214,17,1.0,0.0027357579658834888
10102161120,Queanbeyan-Palerang,10,6214,15,0.6666666666666666,0.0016092693916961698
10102161120,Snowy Monaro,5,2354,15,0.3333333333333333,0.0021240441801189465
10102161122,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161123,Snowy Monaro,13,2354,13,1.0,0.0055225148683092605
10102161124,Queanbeyan-Palerang,39,6214,39,1.0,0.006276150627615063
10102161125,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102161126,Queanbeyan-Palerang,25,6214,25,1.0,0.004023173479240425
10102161127,Queanbeyan-Palerang,11,6214,11,1.0,0.001770196330865787
10102161128,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102161129,Queanbeyan-Palerang,11,6214,11,1.0,0.001770196330865787
10102161130,Queanbeyan-Palerang,27,6214,27,1.0,0.004345027357579659
10102161131,Snowy Monaro,5,2354,5,1.0,0.0021240441801189465
10102161132,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102161133,Queanbeyan-Palerang,8,6214,8,1.0,0.001287415513356936
10102161134,Snowy Monaro,3,2354,3,1.0,0.001274426508071368
10102161135,Queanbeyan-Palerang,7,6214,7,1.0,0.001126488574187319
10102161136,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102161137,Queanbeyan-Palerang,18,6214,18,1.0,0.002896684905053106
10102161138,Queanbeyan-Palerang,12,6214,12,1.0,0.0019311232700354038
10102161139,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102161140,Queanbeyan-Palerang,9,6214,9,1.0,0.001448342452526553
10102161141,Queanbeyan-Palerang,5,6214,5,1.0,0.0008046346958480849
10102161142,Queanbeyan-Palerang,9,6214,9,1.0,0.001448342452526553
10102161143,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102161144,Queanbeyan-Palerang,47,6214,47,1.0,0.007563566140971999
10102161145,Queanbeyan-Palerang,12,6214,12,1.0,0.0019311232700354038
10102161146,Queanbeyan-Palerang,5,6214,5,1.0,0.0008046346958480849
10103101301,Snowy Monaro,19,2354,19,1.0,0.008071367884451997
