SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_2016_TO_2021
25205.0,Mordialloc (South-Eastern Metropolitan),25205,Mordialloc (South-Eastern Metropolitan),1.0
25501.0,Mount Waverley (Eastern Metropolitan),25501,Mount Waverley (Eastern Metropolitan),1.0
25605.0,Mulgrave (South-Eastern Metropolitan),25605,Mulgrave (South-Eastern Metropolitan),1.0
25704.0,Murray Plains (Northern Victoria),25704,Murray Plains (Northern Victoria),1.0
25905.0,Narre Warren North (South-Eastern Metrop,25905,Narre Warren North (South-Eastern Metropolitan),1.0
26005.0,Narre Warren South (South-Eastern Metrop,26005,Narre Warren South (South-Eastern Metropolitan),1.0
26303.0,Northcote (Northern Metropolitan),26303,Northcote (Northern Metropolitan),1.0
26406.0,Oakleigh (Southern Metropolitan),26406,Oakleigh (Southern Metropolitan),1.0
26806.0,Prahran (Southern Metropolitan),26806,Prahran (Southern Metropolitan),1.0
27003.0,Richmond (Northern Metropolitan),27003,Richmond (Northern Metropolitan),1.0
27406.0,Sandringham (Southern Metropolitan),27406,Sandringham (Southern Metropolitan),1.0
27807.0,St Albans (Western Metropolitan),27807,St Albans (Western Metropolitan),1.0
27907.0,Sunbury (Western Metropolitan),27907,Sunbury (Western Metropolitan),1.0
28107.0,Tarneit (Western Metropolitan),28107,Tarneit (Western Metropolitan),1.0
28301.0,Warrandyte (Eastern Metropolitan),28301,Warrandyte (Eastern Metropolitan),1.0
28408.0,Wendouree (Western Victoria),28408,Wendouree (Western Victoria),1.0
28607.0,Williamstown (Western Metropolitan),28607,Williamstown (Western Metropolitan),1.0
29494.0,No usual address (Vic.),29494,No usual address (Vic.),1.0
29797.0,Migratory - Offshore - Shipping (Vic.),29797,Migratory - Offshore - Shipping (Vic.),1.0
30010.0,Bulimba,30008,Bulimba,1.0
30011.0,Bundaberg,30009,Bundaberg,1.0
30019.0,Capalaba,30017,Capalaba,1.0
30047.0,Lytton,30045,Lytton,1.0
30048.0,Mackay,30047,Mackay,1.0
30054.0,Moggill,30056,Moggill,1.0
30058.0,Mount Ommaney,30058,Mount Ommaney,1.0
30069.0,Redcliffe,30071,Redcliffe,1.0
30071.0,Rockhampton,30073,Rockhampton,1.0
30072.0,Sandgate,30074,Sandgate,1.0
30082.0,Toowoomba North,30086,Toowoomba North,1.0
39494.0,No usual address (Qld),39494,No usual address (Qld),1.0
39797.0,Migratory - Offshore - Shipping (Qld),39797,Migratory - Offshore - Shipping (Qld),1.0
40015.0,Flinders,40015,Flinders,1.0
40028.0,Mackillop,40029,Mackillop,1.0
49494.0,No usual address (SA),49494,No usual address (SA),1.0
49797.0,Migratory - Offshore - Shipping (SA),49797,Migratory - Offshore - Shipping (SA),1.0
50605.0,Bateman (South Metropolitan),50605,Bateman (South Metropolitan),1.0
50906.0,Bunbury (South West),50906,Bunbury (South West),1.0
52903.0,Kalgoorlie (Mining and Pastoral),52803,Kalgoorlie (Mining and Pastoral),1.0
53003.0,Kimberley (Mining and Pastoral),52903,Kimberley (Mining and Pastoral),1.0
53104.0,Kingsley (North Metropolitan),53004,Kingsley (North Metropolitan),1.0
54104.0,Nedlands (North Metropolitan),54104,Nedlands (North Metropolitan),1.0
54505.0,Riverton (South Metropolitan),54505,Riverton (South Metropolitan),1.0
55005.0,Southern River (South Metropolitan),55005,Southern River (South Metropolitan),1.0
55605.0,Warnbro (South Metropolitan),55605,Warnbro (South Metropolitan),1.0
55706.0,Warren-Blackwood (South West),55706,Warren-Blackwood (South West),1.0
59494.0,No usual address (WA),59494,No usual address (WA),1.0
59797.0,Migratory - Offshore - Shipping (WA),59797,Migratory - Offshore - Shipping (WA),1.0
60112.0,Bass (Rosevears),60113,Bass (Rosevears),1.0
60115.0,Bass (Windermere),60115,Bass (Windermere),1.0
60214.0,Braddon (Western Tiers),60207,Braddon (Mersey),1.0
60402.0,Franklin (Derwent),60514,Lyons (Rumney),1.0
60512.0,Lyons (Rosevears),60113,Bass (Rosevears),1.0
69494.0,No usual address (Tas.),69494,No usual address (Tas.),1.0
69797.0,Migratory - Offshore - Shipping (Tas.),69797,Migratory - Offshore - Shipping (Tas.),1.0
70001.0,Arafura,70001,Arafura,1.0
70007.0,Brennan,70007,Brennan,1.0
70008.0,Casuarina,70008,Casuarina,1.0
70009.0,Daly,70009,Daly,1.0
70015.0,Karama,70016,Karama,1.0
70020.0,Nightcliff,70021,Nightcliff,1.0
70021.0,Port Darwin,70022,Port Darwin,1.0
70022.0,Sanderson,70023,Sanderson,1.0
79494.0,No usual address (NT),79494,No usual address (NT),1.0
79797.0,Migratory - Offshore - Shipping (NT),79797,Migratory - Offshore - Shipping (NT),1.0
80001.0,Brindabella,80001,Brindabella,1.0
80002.0,Ginninderra,80002,Ginninderra,1.0
89494.0,No usual address (ACT),89494,No usual address (ACT),1.0
89797.0,Migratory - Offshore - Shipping (ACT),89797,Migratory - Offshore - Shipping (ACT),1.0
99191.0,Unclassified (OT),99191,Unclassified (OT),1.0
99494.0,No usual address (OT),99494,No usual address (OT),1.0
99797.0,Migratory - Offshore - Shipping (OT),99797,Migratory - Offshore - Shipping (OT),1.0
,,52903,Kimberley (Mining and Pastoral),1.0
60209.0,Braddon (Murchison),60209,Braddon (Murchison),0.9999999
10068.0,Port Macquarie,10068,Port Macquarie,0.9999999
10046.0,Liverpool,10046,Liverpool,0.9999999
10030.0,Gosford,10030,Gosford,0.9999999
23205.0,Frankston (South-Eastern Metropolitan),23205,Frankston (South-Eastern Metropolitan),0.9999998
50805.0,Bicton (South Metropolitan),50805,Bicton (South Metropolitan),0.9999997
55202.0,Thornlie (East Metropolitan),55202,Thornlie (East Metropolitan),0.9999993
10036.0,Holsworthy,10036,Holsworthy,0.9999641
10023.0,Cronulla,10023,Cronulla,0.999959
21706.0,Burwood (Southern Metropolitan),21706,Burwood (Southern Metropolitan),0.9999387
10052.0,Miranda,10052,Miranda,0.9999329
50702.0,Belmont (East Metropolitan),50702,Belmont (East Metropolitan),0.9999327
10048.0,Macquarie Fields,10048,Macquarie Fields,0.9997426
60302.0,Denison (Derwent),60301,Clark (Derwent),0.9996871
10041.0,Ku-ring-gai,10041,Ku-ring-gai,0.9996347
10063.0,Orange,10063,Orange,0.9996142
10003.0,Ballina,10003,Ballina,0.9995546
10033.0,Hawkesbury,10033,Hawkesbury,0.9995091
10055.0,Mulgoa,10055,Mulgoa,0.9994336
28704.0,Yan Yean (Northern Victoria),28704,Yan Yean (Northern Victoria),0.999427
10042.0,Lake Macquarie,10042,Lake Macquarie,0.9993909
24408.0,Lowan (Western Victoria),24408,Lowan (Western Victoria),0.9993296
10007.0,Bathurst,10007,Bathurst,0.9993171
10087.0,Wagga Wagga,10087,Wagga Wagga,0.9992948
23702.0,Hastings (Eastern Victoria),23702,Hastings (Eastern Victoria),0.9992859
10079.0,Swansea,10079,Swansea,0.9992629
27305.0,Rowville (South-Eastern Metropolitan),27305,Rowville (South-Eastern Metropolitan),0.9992387
10039.0,Kiama,10039,Kiama,0.9991972
10064.0,Oxley,10064,Oxley,0.9991784
10047.0,Londonderry,10047,Londonderry,0.9991703
40033.0,Mount Gambier,40033,Mount Gambier,0.9990537
